Ref,Val,Package,PosX,PosY,Rot,Side
C1a1,22µ,C_1206_3216Metric,30.260108,7.904686,-90,top
C1a2,22µ,C_1206_3216Metric,32.760108,2.904686,-90,top
C1a3,22µ,C_1206_3216Metric,35.260108,7.904686,-90,top
C1a4,22µ,C_1206_3216Metric,37.760108,2.904686,-90,top
C1a5,22µ,C_1206_3216Metric,40.260108,7.904686,-90,top
C1a6,22µ,C_1206_3216Metric,42.760108,2.904686,-90,top
C1a7,22µ,C_1206_3216Metric,45.260108,7.904686,-90,top
C1b1,10µ,C_0805_2012Metric,50.260108,20.929686,-90,top
C1b2,10µ,C_0805_2012Metric,53.760108,20.929686,-90,top
C2,6.8n,C_0805_2012Metric,6.760108,18.429686,-90,top
C3,100p,C_0805_2012Metric,13.760108,20.429686,-90,top
C4,4.7µ,C_0805_2012Metric,33.810108,19.879686,0,top
C6,22µ,C_1206_3216Metric,15.110108,30.379686,-90,top
C7,22µ,C_1206_3216Metric,11.760108,30.379686,-90,top
L1,10µ,L_Coilcraft_XAL6060-XXX,34.740108,35.379686,0,top
Q1,SI4894BDY,SOIC-8_3.9x4.9mm_P1.27mm,39.485108,14.974686,0,top
Q2,DMP3099L,SOT-23,31.210108,25.817186,90,top
R1,68.1k,R_0805_2012Metric,19.347608,15.379686,0,top
R2,56k,R_0805_2012Metric,47.260108,14.467186,-90,top
R3,499k,R_0805_2012Metric,47.260108,18.967186,90,top
R4,8.66k,R_0805_2012Metric,10.347608,21.379686,0,top
R5,549k,R_0805_2012Metric,27.260108,27.467186,-90,top
R6,100K,R_0805_2012Metric,27.260108,23.292186,-90,top
R7,10k,R_0805_2012Metric,42.24541,30.629686,0,top
U1,LTC1871EMS-7-PBF,MSOP-10_3x3mm_P0.5mm,27.760108,17.379686,0,top
