Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
C1,1,10n,,,,Capacitor_SMD:C_0805_2012Metric,
"C1a1,C1a2,C1a3,C1a4,C1a5,C1a6,C1a7,C1a8,C6,C7",10,22µ,,,,Capacitor_SMD:C_1206_3216Metric,
"C1b1,C1b2",2,10µ,,,,Capacitor_SMD:C_0805_2012Metric,
C2,1,6.8n,,,,Capacitor_SMD:C_0805_2012Metric,
C3,1,100p,,,,Capacitor_SMD:C_0805_2012Metric,
C4,1,4.7µ,,,,Capacitor_SMD:C_0805_2012Metric,
"C5,Cin1",2,100µ,,,,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,
D1,1,MBR735,,,,Diode_THT:D_DO-201AD_P15.24mm_Horizontal,
D2,1,1N4148,,,,Diode_SMD:D_SOD-323_HandSoldering,
J2,1,J2_OUT,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J3,1,Proto_GND,DNP,,,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,
J4,1,Proto_1,DNP,,,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,
J5,1,Proto_2,DNP,,,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,
J_VIN1,1,J_VIN_OUT,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
L1,1,10µ,,,,Inductor_SMD:L_Coilcraft_XAL6060-XXX,
Q1,1,IRF7811,,,,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
Q2,1,DMP3099L,,,,Package_TO_SOT_SMD:SOT-23,
R1,1,68.1k,,,,Resistor_SMD:R_0805_2012Metric,
R2,1,56k,,,,Resistor_SMD:R_0805_2012Metric,
R3,1,499k,,,,Resistor_SMD:R_0805_2012Metric,
R4,1,8.66k,,,,Resistor_SMD:R_0805_2012Metric,
R5,1,549k,,,,Resistor_SMD:R_0805_2012Metric,
R6,1,100K,,,,Resistor_SMD:R_0805_2012Metric,
U1,1,LTC1871EMS-7-PBF,,,,Package_SO:MSOP-10_3x3mm_P0.5mm,https://www.analog.com/media/en/technical-documentation/data-sheets/18717fd.pdf
